"","height","age_median","age_min","age_max","plus","minus"
"221",1100,793.66,790.53,796.69,3.03,3.13
"222",1105,793.51,790.38,796.54,3.03,3.13
"223",1110,793.37,790.25,796.4,3.03,3.12
"224",1115,793.22,790.04,796.19,2.96,3.18
"225",1120,793.08,789.9,796.04,2.96,3.18
"226",1125,792.93,789.76,795.89,2.96,3.17
"227",1130,792.78,789.62,795.74,2.95,3.17
"228",1135,792.64,789.48,795.6,2.96,3.15
"229",1140,792.49,789.34,795.45,2.96,3.15
"230",1145,792.34,789.21,795.31,2.97,3.13
"231",1150,792.19,789.08,795.17,2.98,3.11
"232",1155,792.04,788.92,795.01,2.97,3.12
"233",1160,791.89,788.77,794.85,2.96,3.12
"234",1165,791.74,788.62,794.7,2.96,3.11
"235",1170,791.59,788.47,794.53,2.95,3.12
"236",1175,791.44,788.32,794.37,2.94,3.12
"237",1180,791.28,788.16,794.22,2.93,3.12
"238",1185,791.13,788.01,794.06,2.93,3.12
"239",1190,790.98,787.86,793.9,2.92,3.11
"240",1195,790.82,787.71,793.74,2.92,3.11
"241",1200,790.67,787.56,793.58,2.91,3.11
"242",1205,790.51,787.41,793.42,2.91,3.11
"243",1210,790.36,787.31,793.32,2.96,3.05
"244",1215,790.2,787.15,793.16,2.96,3.05
"245",1220,790.04,786.97,792.96,2.92,3.07
"246",1225,789.88,786.81,792.79,2.91,3.08
"247",1230,789.72,786.66,792.63,2.91,3.07
"248",1235,789.57,786.5,792.47,2.9,3.06
"249",1240,789.41,786.34,792.3,2.9,3.06
"250",1245,789.24,786.18,792.14,2.89,3.06
"251",1250,789.08,786.02,791.98,2.9,3.06
"252",1255,788.92,785.86,791.81,2.9,3.05
"253",1260,788.75,785.7,791.64,2.89,3.06
"254",1265,788.59,785.48,791.42,2.83,3.11
"255",1270,788.43,785.31,791.24,2.81,3.12
"256",1275,788.26,785.17,791.09,2.82,3.1
"257",1280,788.1,784.97,790.88,2.78,3.13
"258",1285,787.93,784.81,790.71,2.78,3.12
"259",1290,787.77,784.66,790.55,2.78,3.11
"260",1295,787.6,784.49,790.38,2.78,3.11
"261",1300,787.43,784.32,790.19,2.76,3.12
"262",1305,787.26,784.12,790,2.73,3.14
"263",1310,787.1,784,789.87,2.77,3.1
"264",1315,786.93,783.82,789.68,2.75,3.11
"265",1320,786.76,783.65,789.51,2.75,3.11
"266",1325,786.59,783.49,789.34,2.75,3.1
"267",1330,786.41,783.32,789.17,2.75,3.09
"268",1335,786.24,783.15,788.99,2.76,3.09
"269",1340,786.06,783.03,788.86,2.8,3.03
"270",1345,785.89,782.86,788.68,2.79,3.03
"271",1350,785.71,782.69,788.5,2.79,3.02
"272",1355,785.53,782.53,788.33,2.8,3
"273",1360,785.35,782.35,788.13,2.78,3.01
"274",1365,785.18,782.17,787.95,2.78,3
"275",1370,785,781.99,787.77,2.77,3
"276",1375,784.81,781.81,787.58,2.77,3
"277",1380,784.63,781.65,787.41,2.78,2.99
"278",1385,784.45,781.46,787.22,2.77,2.99
"279",1390,784.27,781.28,787.04,2.76,2.99
"280",1395,784.09,781.11,786.86,2.77,2.97
"281",1400,783.9,780.93,786.67,2.77,2.97
"282",1405,783.71,780.71,786.44,2.73,3
"283",1410,783.53,780.54,786.25,2.72,2.99
"284",1415,783.34,780.35,786.07,2.73,2.99
"285",1420,783.15,780.16,785.87,2.71,3
"286",1425,782.97,779.98,785.67,2.71,2.99
"287",1430,782.78,779.79,785.48,2.7,2.99
"288",1435,782.59,779.6,785.28,2.69,2.99
"289",1440,782.39,779.41,785.08,2.69,2.98
"290",1445,782.2,779.22,784.89,2.69,2.98
"291",1450,782.01,779.03,784.7,2.69,2.98
"292",1455,781.81,778.84,784.49,2.68,2.98
"293",1460,781.62,778.64,784.29,2.67,2.98
"294",1465,781.42,778.45,784.08,2.66,2.97
"295",1470,781.22,778.25,783.88,2.66,2.97
"296",1475,781.02,778.06,783.68,2.66,2.96
"297",1480,780.82,777.87,783.49,2.67,2.95
"298",1485,780.62,777.67,783.29,2.67,2.95
"299",1490,780.42,777.5,783.11,2.69,2.92
"300",1495,780.22,777.32,782.92,2.7,2.9
"301",1500,780.01,777.11,782.7,2.68,2.9
"302",1505,779.81,776.91,782.5,2.69,2.89
"303",1510,779.6,776.71,782.29,2.69,2.89
"304",1515,779.39,776.54,782.11,2.71,2.85
"305",1520,779.18,776.34,781.9,2.72,2.85
"306",1525,778.98,776.15,781.71,2.73,2.83
"307",1530,778.77,775.9,781.45,2.68,2.87
"308",1535,778.56,775.74,781.29,2.74,2.81
"309",1540,778.35,775.54,781.09,2.74,2.8
"310",1545,778.14,775.29,780.83,2.69,2.85
"311",1550,777.92,775.06,780.6,2.68,2.86
"312",1555,777.71,774.89,780.42,2.72,2.81
"313",1560,777.49,774.69,780.21,2.72,2.8
"314",1565,777.27,774.46,779.98,2.71,2.81
"315",1570,777.05,774.24,779.75,2.7,2.81
"316",1575,776.83,774.02,779.53,2.7,2.81
"317",1580,776.61,773.79,779.31,2.7,2.82
"318",1585,776.38,773.51,779.02,2.64,2.88
"319",1590,776.16,773.29,778.8,2.64,2.87
"320",1595,775.93,773.16,778.66,2.73,2.77
"321",1600,775.71,772.94,778.43,2.73,2.76
"322",1605,775.48,772.78,778.26,2.79,2.7
"323",1610,775.24,772.55,778.03,2.79,2.69
"324",1615,775.01,772.26,777.74,2.72,2.76
"325",1620,774.78,772.04,777.52,2.74,2.74
"326",1625,774.54,771.81,777.28,2.74,2.73
"327",1630,774.31,771.58,777.04,2.73,2.73
"328",1635,774.07,771.35,776.82,2.74,2.72
"329",1640,773.83,771.11,776.58,2.75,2.72
"330",1645,773.59,770.9,776.36,2.77,2.69
"331",1650,773.35,770.66,776.12,2.77,2.69
"332",1655,773.11,770.43,775.89,2.78,2.68
"333",1660,772.86,770.19,775.65,2.8,2.67
"334",1665,772.61,769.94,775.4,2.78,2.67
"335",1670,772.36,769.42,774.88,2.51,2.94
"336",1675,772.12,769.42,774.87,2.75,2.69
"337",1680,771.86,768.94,774.39,2.52,2.92
"338",1685,771.61,768.69,774.13,2.52,2.93
"339",1690,771.36,768.62,774.07,2.71,2.74
"340",1695,771.1,768.28,773.72,2.62,2.82
"341",1700,770.84,768.02,773.46,2.62,2.83
"342",1705,770.58,767.75,773.2,2.62,2.83
"343",1710,770.31,767.41,772.85,2.54,2.9
"344",1715,770.05,767.15,772.59,2.54,2.9
"345",1720,769.79,766.89,772.33,2.54,2.9
"346",1725,769.52,766.62,772.07,2.54,2.91
"347",1730,769.26,766.35,771.81,2.55,2.91
"348",1735,768.98,766.17,771.63,2.65,2.81
"349",1740,768.71,766.1,771.57,2.86,2.61
"350",1745,768.44,765.79,771.25,2.82,2.65
"351",1750,768.16,765.51,770.98,2.82,2.65
"352",1755,767.89,765.23,770.71,2.82,2.65
"353",1760,767.6,764.9,770.39,2.79,2.7
